"","AGE1","AGE2_18_29","AGE2_30_44","AGE2_45_59","AGE2_60_UP","GEND_Male","GEND_Female","RACE_White","RACE_Other","EDUC_L_HS","EDUC_Bach","EDUC_Mast","HHADULTS","HHKIDS","HHWORKERS","HHINC_000_050","HHINC_050_100","HHINC_100__UP","PLACETYPE_Urban","PLACETYPE_Sub_Urban","PLACETYPE_Suburban","PLACETYPE_Rural_all","WDAYS","CDAYS","COMMUTE_YesCurrently","COMMUTE_NoUsedTo","MODE_AutoD","MODE_AutoP","MODE_Transit","MODE_Walk","MODE_Bike","PARKCOST_Yes","PARKCOST_No","TOLLCOST_Yes","TOLLCOST_No","TIMEDEP_Morning","TIMEDEP_AfterEveNight","FLEXWORK_Yes","FLEXWORK_No","FLEXINC_Yes","FLEXINC_No","PRIMWORK_Yes","PRIMWORK_No","IMP_TT","IMP_TC","IMP_WT","IMP_IN","SAT_WORK","SAT_COMM","ENJOYWC_Work","ENJOYWC_Comm","IDEALTT_00___","IDEALTT_01_05","IDEALTT_06_15","IDEALTT_15_UP"
"MODE_AutoD",0.161866413578017,-0.110489099483635,-0.0223885896782213,0.0783240403512755,0.0948207090832152,-0.0439580846121175,0.0439580846121175,0.0973737891705096,-0.0973737891705096,-0.0562890841432261,0.0226602736604171,0.0286977906742828,0.0271765573414328,0.00200692822664681,0.048321286891217,-0.0796321180077844,0.0575428288232049,0.0208850436319221,-0.191413407518456,0.0842657208092362,0.0743221946306582,0.0860206427405821,-0.0125485542003893,-0.00610222572184401,-0.0485486555125481,0.0485486555125481,1,-0.56050029789609,-0.590223305827295,-0.363735428359279,-0.243007698113469,0.0501628353984998,-0.0501628353984998,0.0870772521643645,-0.0870772521643645,-0.0362705807442998,0.0362705807442998,-0.0780111640002232,0.0780111640002232,-0.0970981611333096,0.0970981611333096,-0.00926695837781086,0.00926695837781086,0.0415601964632128,-0.0701444759765224,-0.0403047580852209,0.0245779161866188,0.0411617876847186,0.00103590073176948,-0.0721447358741151,0.0721447358741151,0.00230100012126659,0.0336982968437484,0.0220464204680481,-0.067131855885582
"MODE_AutoP",-0.0552971411716737,-0.0103683793775628,0.0557687533136061,-0.00903220928215153,-0.0694207817620941,-0.0331258008404126,0.0331258008404126,-0.0223072226504153,0.0223072226504153,0.0531672857362338,-0.0667288099067547,0.020561547188313,-0.0317630009554767,0.0240425946095324,-0.000334105873291935,0.0316992716262651,-0.0872783610222606,0.0592287395701969,0.0276700983718935,-0.0533001790889026,0.00414157683281291,0.00943628519391342,-0.0280705424517943,0.00609312553499032,0.0799309694507202,-0.0799309694507202,-0.56050029789609,1,-0.0842423539174232,-0.0519158230209128,-0.0346843987809648,-0.0464088064244762,0.0464088064244762,-0.00343604066372025,0.00343604066372025,-0.0333276367882463,0.0333276367882463,0.0757735001568775,-0.0757735001568775,0.054219506713533,-0.054219506713533,0.0585490553844358,-0.0585490553844358,-0.0390165753010763,0.0424951989125263,0.0968167287945377,0.0103795002396118,0.0631248938504775,0.0923065845946338,0.085813415108286,-0.085813415108286,-0.0485898714729325,-0.021819910668612,0.0134092075870418,0.0423338245866793
"MODE_Transit",-0.0931158603485829,0.115421061956307,-0.0377324469491419,-0.0493360784674564,-0.0372156276954416,0.0810846200396454,-0.0810846200396454,-0.127764671241589,0.127764671241589,0.0101794029586831,0.0340961675832907,-0.0453577649072955,0.0319361431942068,-0.00728209984144089,-0.0206110925755451,0.0460741696140681,-0.00324229815201522,-0.0436151087496103,0.168874826006578,-0.0316350247888069,-0.0729510197318054,-0.108964794925766,-0.00713327213830999,-0.0225415134480487,-0.0342800080887362,0.0342800080887362,-0.590223305827295,-0.0842423539174232,1,-0.0546688892105256,-0.0365236924689885,-0.0236165249201726,0.0236165249201726,-0.0835487261722907,0.0835487261722907,0.0881546684980772,-0.0881546684980772,-0.0148335995816589,0.0148335995816589,0.0228073445958898,-0.0228073445958898,-0.0327670960347212,0.0327670960347212,-0.0167743974940646,0.0468312819569495,-0.0318787417381377,-0.0604211004926191,-0.0617243441372965,-0.0721172787385416,0.0503668481430552,-0.0503668481430552,0.0401720959912566,-0.048612512713832,-0.0248709655896967,0.0558013885487883
"MODE_Walk",-0.0600222297076437,0.035739890592647,0.0235006552526471,-0.0473302816614865,-0.02875469727627,-0.0068028212573452,0.0068028212573452,0.015764242612804,-0.015764242612804,0.0253472603083108,-0.00268296233461297,-0.0208325350652925,-0.0818105337055159,-0.0139049603176937,-0.0829239989482358,0.0675082129796406,-0.0365810193610621,-0.0305071804549879,0.1176335772087,-0.0525124414752188,-0.0632823440896312,-0.02957447693798,0.0911267465476626,0.0956873930107635,0.0255582690753446,-0.0255582690753446,-0.363735428359279,-0.0519158230209128,-0.0546688892105256,1,-0.0225083638587417,-0.0242808437613168,0.0242808437613168,-0.0350688455287867,0.0350688455287867,-0.00692697653398049,0.00692697653398049,0.0518853481027274,-0.0518853481027274,0.0470425314369334,-0.0470425314369334,-0.000265701258512237,0.000265701258512237,0.0298924781421521,0.0274434163851408,0.0354315400717176,0.0278419839392139,-0.0290610393097457,0.0182316358548239,-0.054858494063257,0.054858494063257,0.030620198578484,-0.00231123685505422,-0.0320140025597198,0.0214208200150355
"MODE_Bike",-0.119936376883069,0.0764194635717902,0.0045448911641127,-0.0598911431176262,-0.0386518165204449,0.0445399334083044,-0.0445399334083044,-0.0096714075762847,0.0096714075762847,0.0118369700915418,-0.00405397057051526,-0.00678281836362978,0.0263050979585894,-0.0218728639781271,0.00845605815794732,-0.00716204165345168,0.058736667496099,-0.0543207823269539,0.0219628396966296,-0.016175990832893,0.0017956012806411,-0.0166202907140464,-0.0151573357625292,-0.0824893674233811,0.0284166655986234,-0.0284166655986234,-0.243007698113469,-0.0346843987809648,-0.0365236924689885,-0.0225083638587417,1,0.0227682390151088,-0.0227682390151088,-0.0417119516128294,0.0417119516128294,0.00355676629166365,-0.00355676629166365,0.0527846399431603,-0.0527846399431603,0.0702612594912696,-0.0702612594912696,-0.0214789679204118,0.0214789679204118,-0.0597340271951321,0.00596106995251009,-0.0555827772852309,-0.00842568931922543,-0.0913899467357363,-0.0670380768913452,0.0207371205230854,-0.0207371205230854,-0.0383025108837049,0.0485906730559397,0.000908379498604876,-0.0261192117278118
"PARKCOST_Yes",-0.0823053577810616,-0.00682883466464239,0.101140057819635,-0.0626165573274152,-0.0800302332298058,0.140827928609619,-0.140827928609619,0.0527914543408527,-0.0527914543408527,-0.174878681784937,-0.0464183264210946,0.212014726410056,0.0381761006833755,0.215070807440816,0.0132627779778547,-0.157540731964534,0.00950575226092798,0.150790934143482,0.220291752189197,-0.0670475164352262,-0.0852280261135512,-0.129199190327968,0.130762894643548,0.000132025531333081,0.0832685331037103,-0.0832685331037103,0.0501628353984998,-0.0464088064244762,-0.0236165249201726,-0.0242808437613168,0.0227682390151088,1,-1,0.303923023583326,-0.303923023583326,0.00518174417469952,-0.00518174417469952,0.18327535533777,-0.18327535533777,0.0672245363314014,-0.0672245363314014,0.111932900153096,-0.111932900153096,0.209262610603367,0.203444732019246,0.159072800732938,0.102873743237916,0.136049283612122,0.102816537780457,-0.0642560101692618,0.0642560101692618,-0.0785607834741264,-0.0858348316845871,0.00294264439594793,0.148045653881652
"PARKCOST_No",0.0823053577810616,0.00682883466464239,-0.101140057819635,0.0626165573274152,0.0800302332298058,-0.140827928609619,0.140827928609619,-0.0527914543408527,0.0527914543408527,0.174878681784937,0.0464183264210946,-0.212014726410056,-0.0381761006833755,-0.215070807440816,-0.0132627779778547,0.157540731964534,-0.00950575226092798,-0.150790934143482,-0.220291752189197,0.0670475164352262,0.0852280261135512,0.129199190327968,-0.130762894643548,-0.000132025531333081,-0.0832685331037103,0.0832685331037103,-0.0501628353984998,0.0464088064244762,0.0236165249201726,0.0242808437613168,-0.0227682390151088,-1,1,-0.303923023583326,0.303923023583326,-0.00518174417469952,0.00518174417469952,-0.18327535533777,0.18327535533777,-0.0672245363314014,0.0672245363314014,-0.111932900153096,0.111932900153096,-0.209262610603367,-0.203444732019246,-0.159072800732938,-0.102873743237916,-0.136049283612122,-0.102816537780457,0.0642560101692618,-0.0642560101692618,0.0785607834741264,0.0858348316845871,-0.00294264439594793,-0.148045653881652
"TOLLCOST_Yes",-0.0280907733883726,-0.0743060183013554,0.148760507169493,-0.0675468482316502,-0.0563690265472474,0.142997388247673,-0.142997388247673,-0.0158189507229455,0.0158189507229455,-0.156022827089484,-0.0211027895978619,0.16779449158911,0.0817888694912161,0.218141318377808,0.0291405221704219,-0.175192428697661,0.0118613999025173,0.166332215365845,0.159653844669961,0.0238084057552953,-0.112421948634788,-0.10081669482045,0.0881654624602676,-0.0236714438746333,0.0293871285615883,-0.0293871285615883,0.0870772521643645,-0.00343604066372025,-0.0835487261722907,-0.0350688455287867,-0.0417119516128294,0.303923023583326,-0.303923023583326,1,-1,0.069325688989307,-0.069325688989307,0.166162865364247,-0.166162865364247,0.117236183488489,-0.117236183488489,0.137728824815203,-0.137728824815203,0.177692713911921,0.174256628978893,0.121368334138513,0.125166814638327,0.128203216814358,0.0902909031478162,-0.062113610358875,0.062113610358875,-0.0550198460517291,-0.152759729434792,-0.0266368680294007,0.242248083086011
"TOLLCOST_No",0.0280907733883726,0.0743060183013554,-0.148760507169493,0.0675468482316502,0.0563690265472474,-0.142997388247673,0.142997388247673,0.0158189507229455,-0.0158189507229455,0.156022827089484,0.0211027895978619,-0.16779449158911,-0.0817888694912161,-0.218141318377808,-0.0291405221704219,0.175192428697661,-0.0118613999025173,-0.166332215365845,-0.159653844669961,-0.0238084057552953,0.112421948634788,0.10081669482045,-0.0881654624602676,0.0236714438746333,-0.0293871285615883,0.0293871285615883,-0.0870772521643645,0.00343604066372025,0.0835487261722907,0.0350688455287867,0.0417119516128294,-0.303923023583326,0.303923023583326,-1,1,-0.069325688989307,0.069325688989307,-0.166162865364247,0.166162865364247,-0.117236183488489,0.117236183488489,-0.137728824815203,0.137728824815203,-0.177692713911921,-0.174256628978893,-0.121368334138513,-0.125166814638327,-0.128203216814358,-0.0902909031478162,0.062113610358875,-0.062113610358875,0.0550198460517291,0.152759729434792,0.0266368680294007,-0.242248083086011
"TIMEDEP_Morning",0.0242411439828082,-0.0539595208781273,0.0497178339495802,0.00497163346054775,-0.0136195096865551,0.0518677943365891,-0.0518677943365891,0.0581373131599829,-0.0581373131599829,-0.0923177049898852,0.011255770145519,0.0743137379695601,-0.0305775739089011,0.00858373001354623,-0.0194533097699203,-0.101834677511964,-0.00187016951635943,0.105881019427093,0.0213247070224743,0.0407198434467832,-0.0402407530993346,-0.0185215927801437,0.0230152195711025,-0.00157718971692713,-0.0860238116531176,0.0860238116531176,-0.0362705807442998,-0.0333276367882463,0.0881546684980772,-0.00692697653398049,0.00355676629166365,0.00518174417469952,-0.00518174417469952,0.069325688989307,-0.069325688989307,1,-1,0.0449739598974497,-0.0449739598974497,-0.146527247947159,0.146527247947159,-0.0468774243060262,0.0468774243060262,0.043667340378526,-0.0407935235054701,0.011919323765773,-0.0346943303366862,0.076233979727068,0.00187024386975361,0.0291766240756994,-0.0291766240756994,0.0217994213774274,-0.0235070629431141,-0.0292202015436351,0.0475026225792403
"TIMEDEP_AfterEveNight",-0.0242411439828082,0.0539595208781273,-0.0497178339495802,-0.00497163346054775,0.0136195096865551,-0.0518677943365891,0.0518677943365891,-0.0581373131599829,0.0581373131599829,0.0923177049898852,-0.011255770145519,-0.0743137379695601,0.0305775739089011,-0.00858373001354623,0.0194533097699203,0.101834677511964,0.00187016951635943,-0.105881019427093,-0.0213247070224743,-0.0407198434467832,0.0402407530993346,0.0185215927801437,-0.0230152195711025,0.00157718971692713,0.0860238116531176,-0.0860238116531176,0.0362705807442998,0.0333276367882463,-0.0881546684980772,0.00692697653398049,-0.00355676629166365,-0.00518174417469952,0.00518174417469952,-0.069325688989307,0.069325688989307,-1,1,-0.0449739598974497,0.0449739598974497,0.146527247947159,-0.146527247947159,0.0468774243060262,-0.0468774243060262,-0.043667340378526,0.0407935235054701,-0.011919323765773,0.0346943303366862,-0.076233979727068,-0.00187024386975361,-0.0291766240756994,0.0291766240756994,-0.0217994213774274,0.0235070629431141,0.0292202015436351,-0.0475026225792403
"FLEXWORK_Yes",-0.182023050435139,0.0601847025968273,0.1256189183371,-0.110372845469773,-0.156190085491872,0.139452618047403,-0.139452618047403,-0.004919760441629,0.004919760441629,-0.0436143738414161,-0.105455169546429,0.151606345014943,0.0828241160810779,0.187200071203377,0.0597701862854709,-0.0640213507359052,-0.152524909237255,0.225368187989042,0.155926644075168,-0.0189457800131633,-0.0955569667711524,-0.074690504351246,-0.0314868178164312,-0.120478100100841,0.0602602581838435,-0.0602602581838435,-0.0780111640002232,0.0757735001568775,-0.0148335995816589,0.0518853481027274,0.0527846399431603,0.18327535533777,-0.18327535533777,0.166162865364247,-0.166162865364247,0.0449739598974497,-0.0449739598974497,1,-1,NA,NA,0.00709374562325974,-0.00709374562325974,0.0527710141262491,0.16421076973814,0.0781712668689295,0.103820392716015,0.176658600303501,0.115225680297327,0.043087718191847,-0.043087718191847,-0.0347874135459769,-0.0309162645052089,-0.0784433857724436,0.161082228103781
"FLEXWORK_No",0.182023050435139,-0.0601847025968273,-0.1256189183371,0.110372845469773,0.156190085491872,-0.139452618047403,0.139452618047403,0.004919760441629,-0.004919760441629,0.0436143738414161,0.105455169546429,-0.151606345014943,-0.0828241160810779,-0.187200071203377,-0.0597701862854709,0.0640213507359052,0.152524909237255,-0.225368187989042,-0.155926644075168,0.0189457800131633,0.0955569667711524,0.074690504351246,0.0314868178164312,0.120478100100841,-0.0602602581838435,0.0602602581838435,0.0780111640002232,-0.0757735001568775,0.0148335995816589,-0.0518853481027274,-0.0527846399431603,-0.18327535533777,0.18327535533777,-0.166162865364247,0.166162865364247,-0.0449739598974497,0.0449739598974497,-1,1,NA,NA,-0.00709374562325974,0.00709374562325974,-0.0527710141262491,-0.16421076973814,-0.0781712668689295,-0.103820392716015,-0.176658600303501,-0.115225680297327,-0.043087718191847,0.043087718191847,0.0347874135459769,0.0309162645052089,0.0784433857724436,-0.161082228103781
"FLEXINC_Yes",-0.129200052493278,0.152996978489192,-0.0698139077562936,-0.0674640321075322,-0.0336578529594234,-0.111659373211648,0.111659373211648,0.0215701364995527,-0.0215701364995527,0.129641948274723,0.0359153379167129,-0.149741181719995,0.0131076797715113,-0.0376914529973873,-0.0491329957662079,0.139667354388341,0.0448601393623682,-0.173903757803354,0.0113265154676464,-0.0878632522454981,0.00889306280660785,0.0634174020497127,-0.140488663804034,-0.0711924404044075,0.174173456456714,-0.174173456456714,-0.0970981611333096,0.054219506713533,0.0228073445958898,0.0470425314369334,0.0702612594912696,0.0672245363314014,-0.0672245363314014,0.117236183488489,-0.117236183488489,-0.146527247947159,0.146527247947159,NA,NA,1,-1,-0.0133104902544013,0.0133104902544013,-0.0421633500666284,0.0309479892317773,-0.0227096410714807,0.0273423859099611,-0.0863404252097646,0.000509720090219329,-0.108940861909549,0.108940861909549,-0.0669511386824239,0.0719759072385561,0.05552651758892,-0.0929312011036534
"FLEXINC_No",0.129200052493278,-0.152996978489192,0.0698139077562936,0.0674640321075322,0.0336578529594234,0.111659373211648,-0.111659373211648,-0.0215701364995527,0.0215701364995527,-0.129641948274723,-0.0359153379167129,0.149741181719995,-0.0131076797715113,0.0376914529973873,0.0491329957662079,-0.139667354388341,-0.0448601393623682,0.173903757803354,-0.0113265154676464,0.0878632522454981,-0.00889306280660785,-0.0634174020497127,0.140488663804034,0.0711924404044075,-0.174173456456714,0.174173456456714,0.0970981611333096,-0.054219506713533,-0.0228073445958898,-0.0470425314369334,-0.0702612594912696,-0.0672245363314014,0.0672245363314014,-0.117236183488489,0.117236183488489,0.146527247947159,-0.146527247947159,NA,NA,-1,1,0.0133104902544013,-0.0133104902544013,0.0421633500666284,-0.0309479892317773,0.0227096410714807,-0.0273423859099611,0.0863404252097646,-0.000509720090219329,0.108940861909549,-0.108940861909549,0.0669511386824239,-0.0719759072385561,-0.05552651758892,0.0929312011036534
